Year,Day,Habitat,Point count number,sex,number,Size
2014,Peak-1,slope,31,m,3,l
2014,Peak-1,slope,31,m,3,l
2014,Peak-1,slope,31,m,2,s
2014,Peak-1,slope,32,m,8,l
2014,Peak-1,slope,32,m,1,s
2014,Peak-1,slope,32,m,4,l
2014,Peak-1,slope,32,m,4,l
2014,Peak-1,slope,32,m,1,l
2014,Peak-1,slope,32,m,2,s
2014,Peak-1,slope,32,m,4,l
2014,Peak-1,slope,32,m,1,l
2014,Peak-1,slope,32,m,1,l
2014,Peak-1,slope,32,m,4,s
2014,Peak-1,slope,33,m,5,s
2014,Peak-1,slope,33,m,6,l
2014,Peak-1,slope,33,m,5,l
2014,Peak-1,slope,33,m,2,s
2014,Peak-1,slope,33,m,3,s
2014,Peak-1,slope,33,m,2,s
2014,Peak,shelf,34,f,4,l
2014,Peak,shelf,34,f,3,l
2014,Peak,shelf,34,m,3,s
2014,Peak,shelf,34,m,2,s
2014,Peak,shelf,34,m,1,s
2014,Peak,shelf,34,m,1,s
2014,Peak,shelf,34,m,2,s
2014,Peak,shelf,34,m,1,l
2014,Peak,shelf,34,m,1,s
2014,Peak,shelf,34,m,2,s
2014,Peak,shelf,34,m,1,s
2014,Peak,shelf,34,m,2,s
2014,Peak,shelf,34,m,3,s
2014,Peak,shelf,34,m,2,s
2014,Peak,shelf,34,m,2,s
2014,Peak,shelf,34,m,2,s
2014,Peak,shelf,34,m,1,l
2014,Peak,shelf,34,m,1,l
2014,Peak,shelf,34,m,2,s
2014,Peak,shelf,35,f,3,l
2014,Peak,shelf,35,f,2,s
2014,Peak,shelf,35,m,1,s
2014,Peak,shelf,35,m,1,l
2014,Peak,shelf,35,m,1,l
2014,Peak,shelf,35,m,2,s
2014,Peak,shelf,35,m,1,s
2014,Peak,shelf,35,m,1,s
2014,Peak,shelf,35,m,3,s
2014,Peak,shelf,35,m,1,s
2014,Peak,shelf,35,m,1,s
2014,Peak,shelf,35,m,1,s
2014,Peak,shelf,35,m,2,s
2014,Peak,shelf,36,f,3,l
2014,Peak,shelf,36,f,5,s
2014,Peak,shelf,36,m,1,s
2014,Peak,shelf,36,m,2,s
2014,Peak,shelf,36,m,2,s
2014,Peak,shelf,36,m,2,s
2014,Peak,shelf,36,m,1,s
2014,Peak,shelf,36,m,1,s
2014,Peak,shelf,36,m,2,s
2014,Peak,shelf,36,m,1,s
2014,Peak,shelf,36,m,1,s
2014,Peak,shelf,36,m,1,s
2014,Peak,shelf,36,m,1,s
2014,Peak,shelf,36,m,1,s
2014,Peak,shelf,37,f,8,l
2014,Peak,shelf,37,f,1,l
2014,Peak,shelf,37,f,2,l
2014,Peak,shelf,37,m,2,s
2014,Peak,shelf,37,m,1,s
2014,Peak,shelf,37,m,1,l
2014,Peak,shelf,37,m,1,l
2014,Peak,shelf,37,m,1,l
2014,Peak,shelf,37,m,1,s
2014,Peak,shelf,37,m,2,s
2014,Peak,shelf,37,m,1,l
2014,Peak,shelf,37,m,2,s
2014,Peak,shelf,37,m,2,s
2014,Peak,shelf,37,m,1,s
2014,Peak,shelf,37,m,1,s
2014,Peak,shelf,38,f,8,l
2014,Peak,shelf,38,f,3,l
2014,Peak,shelf,38,m,3,s
2014,Peak,shelf,38,m,2,s
2014,Peak,shelf,38,m,3,s
2014,Peak,shelf,38,m,1,s
2014,Peak,shelf,38,m,3,s
2014,Peak,shelf,38,m,1,l
2014,Peak,shelf,38,m,1,s
2014,Peak,shelf,38,m,1,s
2014,Peak,shelf,38,m,1,s
2014,Peak,shelf,38,m,1,l
2014,Peak,shelf,38,m,1,s
2014,Peak,shelf,38,m,2,s
2014,Peak,shelf,38,m,1,s
2014,Peak,shelf,39,f,1,l
2014,Peak,shelf,39,f,3,s
2014,Peak,shelf,39,m,2,s
2014,Peak,shelf,39,m,1,l
2014,Peak,shelf,39,m,1,s
2014,Peak,shelf,39,m,2,s
2014,Peak,shelf,39,m,1,s
2014,Peak,shelf,39,m,1,s
