Year,ID,habitat,sec,State,new.state
2013,1004_sh,Shelf,26,Movement,Rest
2013,1004_sh,Shelf,23,Movement,Rove
2013,1004_sh,Shelf,10,Movement,Rove
2013,1004_sh,Shelf,29,Interaction,Female
2013,1005_sh,Shelf,4,Movement,Rove
2013,1005_sh,Shelf,4,Interaction,Female
2013,1005_sh,Shelf,1,Interaction,Aggression
2013,1005_sh,Shelf,13,Movement,Rove
2013,1005_sh,Shelf,2,Interaction,Female
2013,1005_sh,Shelf,8,Interaction,Female
2013,1005_sh,Shelf,51,Movement,Rove
2013,1005_sh,Shelf,14,Movement,Rove
2013,1005_sh,Shelf,9,Movement,Rove
2013,1005_sh,Shelf,64,Movement,Rove
2013,1005_sh,Shelf,9,Movement,Rest
2013,1005_sh,Shelf,7,Interaction,Female
2013,1005_sh,Shelf,12,Movement,Rove
2013,1006_sh,Shelf,14,Interaction,Aggression
2013,1006_sh,Shelf,65,Movement,Rest
2013,1006_sh,Shelf,17,Movement,Rove
2013,1006_sh,Shelf,3,Interaction,Female
2013,1006_sh,Shelf,43,Movement,Rest
2013,1006_sh,Shelf,28,Movement,Rove
2013,1006_sh,Shelf,22,Movement,Rove
2013,1006_sh,Shelf,41,Movement,Rest
2013,1007_sh,Shelf,55,Movement,Rest
2013,1007_sh,Shelf,4,Interaction,Female
2013,1007_sh,Shelf,1,Interaction,Female
2013,1007_sh,Shelf,13,Interaction,Female
2013,1007_sh,Shelf,16,Movement,Rove
2013,1007_sh,Shelf,5,Movement,Rest
2013,1007_sh,Shelf,4,Interaction,Female
2013,1007_sh,Shelf,13,Interaction,Female
2013,1007_sh,Shelf,14,Movement,Rove
2013,1007_sh,Shelf,3,Interaction,Female
2013,1007_sh,Shelf,17,Movement,Rove
2013,1007_sh,Shelf,10,Movement,Rove
2013,1007_sh,Shelf,2,Movement,Rest
2013,1007_sh,Shelf,9,Interaction,Female
2013,1007_sh,Shelf,2,Movement,Rove
2013,1007_sh,Shelf,4,Interaction,Female
2013,1007_sh,Shelf,40,Movement,Rest
2013,1007_sh,Shelf,11,Movement,Rove
2013,1008_sh,Shelf,47,Movement,Rest
2013,1008_sh,Shelf,66,Movement,Rove
2013,1008_sh,Shelf,46,Movement,Rest
2013,1008_sh,Shelf,27,Movement,Rove
2013,1008_sh,Shelf,8,Movement,Rest
2013,1008_sh,Shelf,41,Movement,Rove
2013,1002_sl,Slope,8,Movement,Rove
2013,1002_sl,Slope,9,Movement,Rest
2013,1002_sl,Slope,8,Movement,Rove
2013,1002_sl,Slope,9,Movement,Rest
2013,1002_sl,Slope,17,Movement,Rove
2013,1002_sl,Slope,24,Interaction,Aggression
2013,1002_sl,Slope,1,Interaction,Aggression
2013,1002_sl,Slope,24,Interaction,Aggression
2013,1002_sl,Slope,47,Movement,Rest
2013,1002_sl,Slope,3,Movement,Rove
2013,1002_sl,Slope,10,Interaction,Aggression
2013,1002_sl,Slope,4,Interaction,Aggression
2013,1002_sl,Slope,3,Movement,Rest
2013,1002_sl,Slope,34,Movement,Rove
